Name,Brand,Rating,Price,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
Snoop's Dream Flower,Cannabis Nation Dispensaries,4.0,,,,,,,,,,snoop's dream flower
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Dream Walker,Autumn Brands,5.0,,,,,,,,,,dream walker
Cookies and Cream ,Cooks Canna,4.0,,THC Dominant,18–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.159,"['Relaxed 66%', 'Happy 62%', 'Euphoric 51%', 'Uplifted 48%', 'Creative 27%']","['Stress 32%', 'Depression 27%', 'Anxiety 25%', 'Pain 21%', 'Insomnia 18%']","['Dry mouth 22%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 1%']",cookies and cream
Candyland (CBD),Black Tie CBD,5.0,9.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",candyland
Agent Orange,Moani Naturals,,,THC Dominant,12–16% THC,< 1% CBD,"['Myrcene', 'Terpinolene', 'Pinene']",0.7894,"['Happy 61%', 'Uplifted 53%', 'Relaxed 43%', 'Energetic 42%', 'Euphoric 41%']","['Stress 36%', 'Anxiety 28%', 'Depression 27%', 'Pain 21%', 'Fatigue 14%']","['Dry mouth 28%', 'Dry eyes 15%', 'Paranoid 6%', 'Dizzy 5%', 'Anxious 4%']",agent orange
Motorbreath,Talking Trees Farms,,,THC Dominant,20–26% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",0.1193,,,,motorbreath
Gelato,Ataraxia,,,THC Dominant,14–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",-0.1685,"['Relaxed 54%', 'Happy 49%', 'Euphoric 46%', 'Uplifted 37%', 'Creative 27%']","['Stress 27%', 'Anxiety 22%', 'Depression 22%', 'Pain 19%', 'Insomnia 11%']","['Dry mouth 23%', 'Dry eyes 11%', 'Dizzy 4%', 'Paranoid 4%', 'Anxious 3%']",gelato
AJ Sour,Emerald Family Farms,5.0,,,,,,,,,,aj sour
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']","['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']","['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']",original glue
