Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
Purple Panty Dropper,THC Dominant,13–21% THC,< 1% CBD,,-0.6977,"['Relaxed 64%', 'Euphoric 48%', 'Aroused 40%', 'Happy 40%', 'Sleepy 37%']","['Pain 24%', 'Stress 21%', 'Insomnia 18%', 'Muscle spasms 18%', 'Depression 13%']","['Dry eyes 13%', 'Dry mouth 13%', 'Anxious 5%', 'Headache 5%', 'Paranoid 5%']",purple panty dropper
Blue Satellite,THC Dominant,,,,0.9053,"['Happy 62%', 'Uplifted 60%', 'Euphoric 52%', 'Talkative 50%', 'Energetic 45%']","['Stress 57%', 'Anxiety 42%', 'Depression 37%', 'Pain 30%', 'Fatigue 20%']","['Dry mouth 35%', 'Dry eyes 27%', 'Dizzy 17%', 'Paranoid 17%', 'Headache 12%']",blue satellite
Chef Kush,THC Dominant,,,,,,,,chef kush
Rockstar Master Kush,THC Dominant,,,,-0.6865,"['Relaxed 88%', 'Euphoric 70%', 'Hungry 58%', 'Happy 47%', 'Sleepy 41%']","['Stress 47%', 'Pain 41%', 'Depression 17%', 'Fatigue 17%', 'Inflammation 17%']","['Dry mouth 41%', 'Dry eyes 23%', 'Dizzy 5%', 'Headache 5%']",rockstar master kush
Chupacabra,THC Dominant,17–21% THC,< 1% CBD,,-0.0207,"['Happy 112%', 'Relaxed 100%', 'Euphoric 75%', 'Focused 75%', 'Creative 68%']","['Stress 106%', 'Depression 62%', 'Insomnia 43%', 'Pain 43%', 'PTSD 25%']","['Dry mouth 31%', 'Anxious 12%', 'Headache 12%']",chupacabra
Crunch Berry Kush,,,,,-0.8687,"['Relaxed 76%', 'Euphoric 67%', 'Happy 61%', 'Giggly 35%', 'Sleepy 35%']","['Stress 41%', 'Anxiety 41%', 'Pain 35%', 'Depression 32%', 'Insomnia 32%']","['Dry mouth 35%', 'Dry eyes 14%', 'Anxious 2%', 'Dizzy 2%', 'Headache 2%']",crunch berry kush
Pineapple Fields,THC Dominant,15–18% THC,< 1% CBD,,0.8503,"['Happy 68%', 'Uplifted 68%', 'Relaxed 60%', 'Euphoric 56%', 'Energetic 52%']","['Stress 40%', 'Pain 36%', 'Anxiety 28%', 'Depression 24%', 'Headaches 24%']","['Dry mouth 32%', 'Anxious 16%', 'Paranoid 12%', 'Dry eyes 8%', 'Dizzy 4%']",pineapple fields
G13 Haze,THC Dominant,,,,0.3582,"['Euphoric 66%', 'Happy 64%', 'Relaxed 49%', 'Uplifted 45%', 'Energetic 33%']","['Stress 42%', 'Pain 35%', 'Depression 27%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 40%', 'Dry eyes 18%', 'Dizzy 14%', 'Paranoid 4%', 'Headache 3%']",g13 haze
White 99,THC Dominant,,,,0.3466,"['Relaxed 46%', 'Euphoric 44%', 'Happy 42%', 'Uplifted 39%', 'Energetic 26%']","['Depression 28%', 'Stress 26%', 'Anxiety 20%', 'Fatigue 17%', 'Lack of appetite 11%']","['Dry mouth 14%', 'Dry eyes 11%', 'Anxious 7%', 'Dizzy 4%', 'Paranoid 2%']",white 99
Pakistan Valley Kush,THC Dominant,,,,,,,,pakistan valley kush
Hawaiian Fire,THC Dominant,,,,0.9563,"['Happy 68%', 'Euphoric 63%', 'Uplifted 63%', 'Energetic 45%', 'Focused 45%']","['Stress 45%', 'Pain 31%', 'Anxiety 27%', 'Depression 22%', 'Headaches 18%']","['Dry eyes 13%', 'Dizzy 9%', 'Dry mouth 9%', 'Anxious 4%', 'Headache 4%']",hawaiian fire
Nepalese,THC Dominant,18–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.4075,"['Happy 67%', 'Relaxed 56%', 'Euphoric 54%', 'Uplifted 51%', 'Creative 35%']","['Stress 32%', 'Depression 29%', 'Nausea 29%', 'Pain 29%', 'Insomnia 27%']","['Dry eyes 18%', 'Dry mouth 18%', 'Dizzy 10%', 'Anxious 2%', 'Headache 2%']",nepalese
Al's Dream,THC Dominant,18–18% THC,< 1% CBD,,,,,,al's dream
Sourlope,THC Dominant,,,,0.9129999999999999,,,,sourlope
Carl Sagan,THC Dominant,,,,0.4817,"['Creative 68%', 'Euphoric 52%', 'Focused 47%', 'Happy 47%', 'Relaxed 47%']","['Stress 57%', 'Depression 52%', 'Anxiety 47%', 'Fatigue 31%', 'Lack of appetite 21%']","['Dry mouth 42%', 'Dry eyes 15%', 'Anxious 5%', 'Dizzy 5%']",carl sagan
Hellfire OG,THC Dominant,19–23% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.0064,"['Euphoric 63%', 'Happy 55%', 'Relaxed 55%', 'Uplifted 36%', 'Energetic 32%']","['Stress 40%', 'Pain 32%', 'Depression 22%', 'Insomnia 22%', 'Anxiety 20%']","['Dry mouth 18%', 'Dizzy 6%', 'Anxious 4%', 'Dry eyes 4%', 'Paranoid 2%']",hellfire og
OG Los Angeles Kush,THC Dominant,,,,,,,,og los angeles kush
Big Sur Holy Bud,THC Dominant,17–19% THC,< 1% CBD,,0.7882,"['Happy 68%', 'Uplifted 59%', 'Relaxed 50%', 'Energetic 45%', 'Euphoric 45%']","['Stress 54%', 'Depression 45%', 'Pain 31%', 'Anxiety 27%', 'Muscle spasms 22%']","['Dry mouth 27%', 'Dry eyes 13%']",big sur holy bud
Juicy Jack,,,,,0.6965,,,,juicy jack
Hawaiian Snow,THC Dominant,17–20% THC,< 1% CBD,,0.973,"['Happy 66%', 'Uplifted 61%', 'Energetic 50%', 'Euphoric 49%', 'Creative 45%']","['Stress 43%', 'Depression 33%', 'Anxiety 32%', 'Pain 24%', 'Insomnia 15%']","['Dry mouth 33%', 'Dry eyes 20%', 'Dizzy 12%', 'Paranoid 5%', 'Headache 4%']",hawaiian snow
Red Diesel,THC Dominant,,,,0.369,"['Euphoric 57%', 'Happy 48%', 'Relaxed 46%', 'Uplifted 42%', 'Hungry 38%']","['Stress 34%', 'Anxiety 28%', 'Pain 16%', 'Depression 14%', 'Lack of appetite 14%']","['Dry mouth 38%', 'Dry eyes 20%', 'Anxious 12%', 'Paranoid 12%', 'Dizzy 10%']",red diesel
Snow Bud,,,,,-0.4117,"['Relaxed 66%', 'Happy 50%', 'Uplifted 46%', 'Sleepy 36%', 'Creative 26%']","['Stress 36%', 'Pain 33%', 'Anxiety 33%', 'Depression 30%', 'Inflammation 26%']","['Dry mouth 33%', 'Dry eyes 10%', 'Headache 6%', 'Dizzy 3%', 'Paranoid 3%']",snow bud
Swiss Bliss,THC Dominant,,,,,,,,swiss bliss
Aloha Grape Stomper,THC Dominant,,,,,,,,aloha grape stomper
Northern Wreck,,,,,-0.6624,"['Relaxed 87%', 'Euphoric 66%', 'Happy 64%', 'Uplifted 42%', 'Creative 37%']","['Pain 37%', 'Stress 37%', 'Depression 35%', 'Anxiety 31%', 'Insomnia 27%']","['Dry mouth 25%', 'Dizzy 7%', 'Dry eyes 7%', 'Anxious 3%', 'Paranoid 3%']",northern wreck
