Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Silver Kush,sativa,"['Citrus', 'Earthy', 'Pungent']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Giggly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Silver Pearl,hybrid,"['Citrus', 'Skunk', 'Pungent']","['Energetic', 'Uplifted', 'Tingly']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Eye Pressure']"
Silver Surfer,hybrid,"['Sweet', 'Woody', 'Earthy']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Silver Train,sativa,"['Pine', 'Sweet', 'Pungent']","['Euphoric', 'Creative', 'Energetic', 'Focused', 'Aroused']",[],"['Depression', 'Pain', 'Stress', 'Inflammation']"
Silverback Gorilla,indica,"['Pungent', 'Flowery', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']"
Silverfalls Kush,hybrid,"['Sweet', 'Berry', 'Spicy/Herbal']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly']",['Dry Eyes'],"['Insomnia', 'Pain', 'Stress', 'Cramps', 'Inflammation']"
Silverhawks OG,sativa,"['Citrus', 'Earthy', 'Flowery']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Sin City Kush,indica,"['Grape', 'Pine', 'Nutty']","['Relaxed', 'Euphoric', 'Uplifted', 'Tingly', 'Giggly']","['Dizzy', 'Dry Mouth']","['Depression', 'Insomnia', 'Stress', 'Eye Pressure', 'Muscle Spasms']"
Sin Valley OG,hybrid,"['Earthy', 'Citrus', 'Skunk']","['Relaxed', 'Happy', 'Sleepy', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headaches']"
SinMint Cookies,hybrid,"['Minty', 'Mint', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps']"
Sirius Black,indica,"['Grape', 'Berry', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Six Shooter,hybrid,"['Skunk', 'Sweet', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Skins Skunk,hybrid,"['Lemon', 'Strawberry', 'Sweet']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Cramps', 'Muscle Spasms']"
Skunk 47,indica,"['Chemical', 'Earthy', 'Skunk']","['Relaxed', 'Happy', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Cramps', 'Nausea']"
Skunk Dawg,sativa,"['Skunk', 'Diesel', 'Sweet']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Pain', 'Stress', 'Nausea', 'Headaches', 'Inflammation']"
Skunk Haze,hybrid,"['Woody', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Skunk No. 1,hybrid,"['Skunk', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Star Berry Indica,indica,"['Berry', 'Citrus', 'Sweet']","['Relaxed', 'Happy', 'Energetic', 'Talkative', 'Focused']",[],"['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Star Killer,indica,"['Earthy', 'Lemon', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']"
Star Master Kush,indica,"['Skunk', 'Pine', 'Earthy']","['Relaxed', 'Euphoric', 'Uplifted', 'Sleepy', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Star Tonic,hybrid,"['Citrus', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']"
StarBud,indica,"['Lemon', 'Diesel', 'Chemical']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Stardawg,hybrid,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Stardawg Guava,sativa,"['Tropical', 'Sweet', 'Chemical']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Starfighter,hybrid,"['Pine', 'Woody', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']"
Starry Night,hybrid,"['Pungent', 'Berry', 'Blue Cheese']","['Euphoric', 'Happy', 'Creative', 'Tingly', 'Focused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Stella Blue,sativa,"['Flowery', 'Sweet', 'Tree Fruit']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Stephen Hawking Kush,indica,"['Earthy', 'Woody', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Pain', 'Stress', 'Nausea', 'Headache', 'Inflammation', 'Muscle Spasms']"
Stevie Wonder,hybrid,"['Orange', 'Pepper', 'Woody']","['Happy', 'Energetic', 'Uplifted', 'Tingly', 'Focused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Straight A's Haze,sativa,"['Citrus', 'Flowery', 'Pungent']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Focused']",[],"['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']"
Strawberry,sativa,"['Strawberry', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']"
Strawberry Amnesia,sativa,"['Strawberry', 'Earthy', 'Pine']","['Relaxed', 'Euphoric', 'Energetic', 'Uplifted', 'Focused']",['Anxious'],"['Depression', 'Stress', 'Headache', 'Fatigue', 'Headaches', 'Eye Pressure']"
Strawberry Banana,hybrid,"['Strawberry', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Strawberry Blondie,hybrid,"['Strawberry', 'Sweet', 'Pungent']","['Euphoric', 'Happy', 'Creative', 'Energetic']",['Dry Mouth'],"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Eye Pressure']"
Strawberry Blue,sativa,"['Strawberry', 'Sweet', 'Berry']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Strawberry Cheesecake,indica,"['Sweet', 'Strawberry', 'Flowery']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Strawberry Cough,sativa,"['Strawberry', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Strawberry Diesel,hybrid,"['Strawberry', 'Diesel', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Strawberry Dream,hybrid,"['Strawberry', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Strawberry Durban Diesel,sativa,"['Strawberry', 'Earthy', 'Diesel']","['Creative', 'Energetic', 'Talkative', 'Uplifted', 'Aroused']",[],"['Depression', 'Stress']"
Strawberry Fields,indica,"['Strawberry', 'Berry', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']"
Strawberry Frost,indica,"['Strawberry', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Aroused']",[],"['Depression', 'Pain', 'Stress', 'Cramps', 'Headaches']"
Strawberry Ice,sativa,"['Sweet', 'Strawberry', 'Berry']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Strawberry Kush,hybrid,"['Strawberry', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Strawberry Lemonade,sativa,"['Lemon', 'Strawberry', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Strawberry Mango Haze,sativa,"['Mango', 'Strawberry', 'Sweet']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Strawberry Milkshake,hybrid,"['Strawberry', 'Sweet', 'Earthy']","['Relaxed', 'Happy', 'Uplifted', 'Sleepy']",['Dry Eyes'],"['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']"
Strawberry OG,hybrid,"['Strawberry', 'Diesel', 'Spicy/Herbal']","['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Giggly']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Inflammation']"
Strawberry Satori,sativa,"['Strawberry', 'Sweet', 'Earthy']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Sublime,sativa,"['Earthy', 'Flowery', 'Spicy/Herbal']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache', 'Fatigue']"
Sugar Black Rose,indica,"['Sweet', 'Rose', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Sugar Cookie,hybrid,"['Sweet', 'Earthy', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Sugar Kush,indica,"['Sweet', 'Earthy', 'Chemical']","['Relaxed', 'Hungry', 'Happy', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Sugar Mama,indica,"['Sweet', 'Citrus', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Aroused']",['Dry Eyes'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Sugar Plum,sativa,"['Sweet', 'Berry', 'Lavender']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache', 'Inflammation']"
Sugar Punch,hybrid,"['Skunk', 'Sweet', 'Pine']","['Hungry', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Sugar Shack,hybrid,"['Earthy', 'Pine', 'Sweet']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Suicide Girl,hybrid,"['Citrus', 'Sweet', 'Violet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Talkative']",[],['Fatigue']
Summertime Squeeze,sativa,"['Tea', 'Earthy', 'Flowery']","['Happy', 'Creative', 'Talkative', 'Giggly']","['Dry Mouth', 'Paranoid', 'Dry Eyes']",['Fatigue']
Sumo Grande,sativa,['Citrus'],"['Hungry', 'Creative', 'Focused', 'Aroused']",['Dry Mouth'],"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue']"
Sun Ra,sativa,"['Citrus', 'Earthy', 'Sweet']","['Hungry', 'Euphoric', 'Happy', 'Focused']",['Dry Mouth'],"['Insomnia', 'Stress', 'Lack of Appetite']"
Sunburn,sativa,"['Citrus', 'Earthy', 'Sweet']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']",[],"['Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation', 'Muscle Spasms']"
Sunset Haze,hybrid,"['Citrus', 'Flowery', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Sunset Sherbet,hybrid,"['Sweet', 'Citrus', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Sunshine,sativa,"['Citrus', 'Sweet', 'Tropical']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']",[],"['Depression', 'Pain', 'Stress', 'Nausea', 'Eye Pressure']"
Sunshine #4,hybrid,"['Citrus', 'Chemical', 'Tropical']","['Hungry', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']"
Sunshine Daydream,indica,"['Blueberry', 'Skunk', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Creative']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Nausea', 'Headaches', 'Inflammation']"
Supa Don,sativa,"['Apricot', 'Flowery', 'Spicy/Herbal']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']"
Super  Chronic,indica,"['Earthy', 'Pine', 'Minty']","['Relaxed', 'Euphoric', 'Happy', 'Focused']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Nausea', 'Inflammation']"
Super Blue Dream,hybrid,"['Blueberry', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache', 'Fatigue']"
Super Bud,indica,"['Citrus', 'Mint', 'Flowery']","['Relaxed', 'Happy', 'Creative', 'Sleepy', 'Giggly']",['Dry Eyes'],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Eye Pressure']"
Super Cat Piss,sativa,"['Coffee', 'Lemon']","['Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Nausea']"
Super Cheese,indica,"['Cheese', 'Blue Cheese', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Super G,sativa,"['Earthy', 'Pine', 'Pungent']","['Creative', 'Energetic']","['Dizzy', 'Dry Mouth', 'Dry Eyes']",[]
Super Green Crack,sativa,"['Citrus', 'Pungent', 'Earthy']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Super Jack,sativa,"['Sweet', 'Earthy', 'Pungent']","['Happy', 'Energetic', 'Talkative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Super Kush,indica,"['Earthy', 'Pine', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Super Lemon Haze,sativa,"['Lemon', 'Citrus', 'Sweet']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Super Lemon OG,hybrid,"['Lemon', 'Earthy', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Headaches', 'Inflammation', 'Muscle Spasms']"
Super Silver Haze,sativa,"['Citrus', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Super Silver Lights,hybrid,"['Flowery', 'Sweet', 'Pungent']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Giggly']",[],"['Depression', 'Headaches', 'Inflammation', 'Muscle Spasms']"
Super Skunk,indica,"['Skunk', 'Earthy', 'Sweet']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']"
Super Snow Dog,sativa,"['Citrus', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Super Sour Diesel,sativa,"['Diesel', 'Earthy', 'Sweet']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Super Sour OG,hybrid,"['Pungent', 'Diesel', 'Pine']","['Relaxed', 'Happy', 'Uplifted', 'Focused']",['Dry Mouth'],"['Insomnia', 'Pain', 'Inflammation', 'Spasticity', 'Muscle Spasms']"
Super Sour Skunk,hybrid,"['Sweet', 'Honey', 'Tropical']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Tingly']","['Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Super Sour Widow,hybrid,"['Pungent', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Super Sweet,hybrid,"['Sweet', 'Honey', 'Berry']","['Euphoric', 'Happy', 'Creative', 'Talkative', 'Giggly']",[],"['Depression', 'Stress', 'Cramps', 'Fatigue', 'Inflammation']"
Supergirl,indica,"['Earthy', 'Woody', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Superglue,hybrid,"['Pungent', 'Pine', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Superman OG,indica,"['Earthy', 'Skunk', 'Nutty']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']"
Supermax OG,hybrid,"['Pine', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Nausea', 'Fatigue', 'Eye Pressure']"
Supernatural,sativa,"['Citrus', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Energetic', 'Focused', 'Aroused']",['Dry Eyes'],"['Stress', 'Lack of Appetite', 'Fatigue', 'Headaches', 'Eye Pressure']"
Supernova,hybrid,"['Pungent', 'Tropical', 'Sweet']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']"
Superstar,hybrid,"['Flowery', 'Earthy', 'Citrus']","['Relaxed', 'Euphoric']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Muscle Spasms']"
Suzy Q,hybrid,"['Pine', 'Minty', 'Earthy']","['Relaxed', 'Hungry', 'Uplifted', 'Sleepy', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Nausea', 'Headaches', 'Muscle Spasms']"
Swazi Gold,sativa,"['Earthy', 'Woody', 'Pine']","['Hungry', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Sweet Baby Jane,indica,"['Citrus', 'Pine', 'Sweet']","['Relaxed', 'Happy', 'Talkative', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']"
Sweet Berry,hybrid,"['Berry', 'Sweet', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Paranoid', 'Anxious']","['Pain', 'Stress', 'Fatigue', 'Spasticity']"
Sweet Black Angel,indica,"['Sweet', 'Berry', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Sweet Cheese,sativa,"['Cheese', 'Sweet', 'Chemical']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']"
Sweet Deep Grapefruit,indica,"['Grapefruit', 'Citrus', 'Grape']","['Relaxed', 'Hungry', 'Euphoric', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Sweet Diesel,sativa,"['Woody', 'Sweet', 'Diesel']","['Relaxed', 'Happy', 'Energetic', 'Talkative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Headaches']"
Sweet Dream,hybrid,"['Berry', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Stress', 'Cramps', 'Fatigue', 'Headaches']"
Sweet Dreams,hybrid,"['Sweet', 'Lemon', 'Pine']","['Relaxed', 'Hungry', 'Happy', 'Talkative', 'Sleepy']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Sweet Harlem Diesel,hybrid,"['Pear', 'Citrus', 'Diesel']","['Euphoric', 'Happy', 'Creative', 'Aroused']",['Dry Eyes'],"['Depression', 'Pain', 'Lack of Appetite', 'Fatigue', 'Inflammation']"
Sweet Jane,sativa,"['Rose', 'Citrus', 'Sweet']","['Happy', 'Creative', 'Focused', 'Aroused']",['Dry Mouth'],"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Sweet Kush,hybrid,"['Citrus', 'Flowery', 'Lime']","['Relaxed', 'Hungry', 'Euphoric', 'Energetic', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']"
Sweet Lafayette,indica,"['Chestnut', 'Citrus', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
