Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Bhang Triple Berry Goo,indica,"['Berry', 'Apple', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy']","['Dry Mouth', 'Dry Eyes']","['Fatigue', 'Eye Pressure']"
Bhang White Diesel,hybrid,"['Apple', 'Citrus', 'Diesel']","['Relaxed', 'Euphoric', 'Happy', 'Creative']",[],[]
Bhang White Widow,hybrid,"['Blueberry', 'Earthy', 'Lavender']","['Happy', 'Creative', 'Energetic', 'Talkative', 'Aroused']",['Anxious'],[]
Bhang XJ-13,hybrid,"['Citrus', 'Flowery', 'Tropical']","['Relaxed', 'Energetic', 'Uplifted', 'Focused']",[],"['Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation']"
Bhang Yoda OG,indica,"['Citrus', 'Flowery', 'Sweet']","['Relaxed', 'Uplifted', 'Focused']",[],"['Pain', 'Stress', 'Inflammation']"
Bianca,hybrid,"['Earthy', 'Woody', 'Pine']","['Relaxed', 'Creative', 'Sleepy', 'Aroused']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Biddy Early,hybrid,"['Sweet', 'Lemon', 'Pine']","['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Focused']",['Anxious'],"['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Big Band,hybrid,"['Sweet', 'Citrus', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Big Bang,indica,"['Flowery', 'Berry', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Big Bud,indica,"['Earthy', 'Pungent', 'Woody']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']"
