Name,Brand,Rating,Price,Join_name
Super Silver Glue,Flow Kana,,,super silver glue
Lamb's Bread Marley Gold Sativa Flower,Marley Natural,,,lamb's bread marley gold sativa flower
Wedding Cake Gelato,Copperstate Farms,5.0,,wedding cake gelato
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Connect 410,Canndescent,,,connect 410
Milk & Cookies,True North Collective MI,,,milk & cookies
Commerce City Kush,Copperstate Farms,,,commerce city kush
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Super Duper Sherbet,AZ Nectar Farms,5.0,,super duper sherbet
Breath,BG Family Farms,,,breath
Flo OG,Sunday Goods,,,flo og
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
White Lightning ,Health For Life Flower,,,white lightning
SNOOPS DREAM,OMG Sykes,,,snoops dream
Cherry Lime Haze ,Folium Farms,,,cherry lime haze
Lemoncello,Apothca,,,lemoncello
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Three In the Pink,Freddy's Fuego,,,three in the pink
Triangle Mints,Korova,4.0,,triangle mints
Dolato,Treedom,5.0,,dolato
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Aliens on Moonshine,Double Delicious,,,aliens on moonshine
91 Mob #3,Sunday Goods,,,91 mob #3
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Pineapple Upsidedown Cake,Snickle Fritz by Grow Op Farms,,,pineapple upsidedown cake
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Stardawg ,Arizona Natural Selections (AZNS),,,stardawg
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
House Mr. Clean,Harvest,,,house mr. clean
Alaskan Thunder Fuck Flower,Cannabis Nation Dispensaries,,,alaskan thunder fuck flower
Sh!ttlez,HeadStash Only,,55.0,sh!ttlez
Key Lime Pie,17 Farms,,,key lime pie
Lemon Apricot,Patriot Care,,,lemon apricot
Super Silver Hash Plant,Bloom Cannabis,,,super silver hash plant
Purple Trainwreck,Ninja Gardens,,,purple trainwreck
Stella Blue,LEAP FARMS,,,stella blue
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Mr. Nice - Humboldt Family Strong Farms (Delete),Healing Light Bodega,,20.0,mr. nice - humboldt family strong farms
Super Lemon Diesel,GOLDLEAF,,,super lemon diesel
Lemonade,Tryke Companies,,,lemonade
Seattle Soda,Cultivate,,,seattle soda
Golden Goat,Calyx Garden,5.0,50.0,golden goat
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Sour Tangie,Elevate Cannabis Co.,,,sour tangie
Triple Double,Arizona Natural Selections (AZNS),,,triple double
Lemon Skyfall,Rebel Spirit Cannabis Company,5.0,,lemon skyfall
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Grandpa's Breath,Cresco Cannabis,,,grandpa's breath
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Modified Punch (GMO X Papaya),Real Leaf Solutions,,,modified punch
Frost Boss #8,Sunday Goods,,,frost boss #8
Tina,GreenRush Cannabis,,,tina
Dutch Hawaiian,Green Haven,2.0,,dutch hawaiian
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Kush Cake #5,Mohave Cannabis Co,,,kush cake #5
Pillow Factory ,matter.,3.6,,pillow factory
Premium The Sweeties,Arizona Organix,,,premium the sweeties
Bob Marley,Bob Marley,,,bob marley
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Cherry Pie,Epoch Farms,,,cherry pie
Blackberry Trainwreck,Forbidden Farms,,,blackberry trainwreck
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
OG Kush (CBD),Simply Crafted,5.0,25.0,og kush
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
RACE FUEL OG,High Grade Vape,,,race fuel og
"T1 - Smalls - 12.4% CBD, 1.296% Total Terpenes, Fruity, Floral, Orange, Indica, Rest, Indoor Grown",The Botanical Joint,,15.0,"t1 - smalls - 12.4% cbd, 1.296% total terpenes, fruity, floral, orange, indica, rest, indoor grown"
Bob Marley,Bob Marley,,,bob marley
Corleone Kush - The Don Cut,GOLDLEAF,,,corleone kush - the don cut
Phoenix Lights,MÜV Products,,,phoenix lights
Sonoran Cooler,Arizona Organix,,,sonoran cooler
Three Kings - Ultra-Premium Flower,BLOOM FARMS,5.0,50.0,three kings - ultra-premium flower
One Love,INDO,4.0,,one love
Diamond Mac 1,Aeriz,,,diamond mac 1
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Lava Cake,Bloom Cannabis,,,lava cake
Blueberry Muffin,Urban Greenhouse,,,blueberry muffin
Grapefruit,Excolo Farms,,,grapefruit
MAC & CHEESE,Cedar Creek Cannabis,,,mac & cheese
Blue Dream,CBD Plus USA,,,blue dream
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Loud Berry,Magic Time Farms,4.0,,loud berry
Legion Grown- Grape Ape,Legion of Bloom,,25.0,legion grown- grape ape
Sour Tangie Flower,Evermore Cannabis Company,,,sour tangie flower
P91 Bong Buddies,Phat Panda by Grow Op Farms,,,p91 bong buddies
Moon Drops,Tryke Companies,,,moon drops
Huckleberry Diesel Flower,Cannabis Nation Dispensaries,,,huckleberry diesel flower
Berry White (Blueberry x White Widow) *Indica,Bishop Orchard,,,berry white  *indica
Hash Haze,Terrapin Care Station,3.9,,hash haze
A4 Highway,Grassroots Cannabis,,,a4 highway
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
AMG,Benson Elvis,,,amg
GG5 (f.k.a. Gorilla Glue #5),Phat Panda by Grow Op Farms,,,gg5
Golden Lemon,LEAP FARMS,,,golden lemon
Blue Lime Pie,NUHI Distribution,,,blue lime pie
Kosher Kush,Bloom Cannabis,,,kosher kush
Lemon Cheesecake,Western Cultured by Hannah Industries,,,lemon cheesecake
Yummy,Sanctuary Medicinals,,,yummy
Sour Diesel Marley Gold Sativa Flower,Marley Natural,,,sour diesel marley gold sativa flower
3C AC/DC,3C Farms,5.0,,3c ac/dc
Lemon OG  (Harvest Reserve Flower) ,Harvest,,,lemon og
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Tangistan Kush,DTF - Downtown Flower,5.0,15.0,tangistan kush
Dutch Racer,Culta,,,dutch racer
Black Cherry Pie,Lowell Herb Co.,,,black cherry pie
Candy Cream,Copperstate Farms,4.0,,candy cream
Blackberry Kush,OG Gardens,,,blackberry kush
Lemon Larry OG,Taste Budz,,,lemon larry og
Beach Wedding,Freddy's Fuego,5.0,,beach wedding
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Bubblicious,NATIVE,,,bubblicious
Future on Fire Popcorn,Bloom Cannabis,,,future on fire popcorn
Purple Panty,CALIBUENO,,,purple panty
Hash Haze,Terrapin Care Station,3.9,,hash haze
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
TROPICAL OG,Northwest Cannabis Solutions,,,tropical og
