Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
Sour Jack,MÜV Products,,,,,THC Dominant,14–17% THC,< 1% CBD,,0.9209,,"['Energetic 60%', 'Happy 58%', 'Uplifted 50%', 'Creative 49%', 'Euphoric 42%']",,"['Depression 35%', 'Stress 29%', 'Anxiety 25%', 'Fatigue 17%', 'Pain 14%']",,"['Dry mouth 25%', 'Dry eyes 7%', 'Dizzy 4%', 'Headache 4%', 'Anxious 3%']"
Original Glue,Forbidden Farms,,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Alien OG,Caliva,,,hybrid,"['Lemon', 'Flowery', 'Earthy']",THC Dominant,13–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.2152,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Relaxed 61%', 'Euphoric 52%', 'Happy 52%', 'Uplifted 43%', 'Creative 29%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 33%', 'Pain 26%', 'Anxiety 26%', 'Depression 24%', 'Insomnia 17%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']","['Dry mouth 23%', 'Dry eyes 14%', 'Paranoid 6%', 'Dizzy 5%', 'Headache 4%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Schrom,Astoria Farms,,,sativa,"['Lemon', 'Citrus', 'Pine']",THC Dominant,,,,0.7092,"['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']",,['Dry Mouth'],,"['Depression', 'Stress', 'Lack of Appetite', 'Headache', 'Eye Pressure', 'Muscle Spasms']",
Chemdawg ,Arizona Organix,,,hybrid,"['Diesel', 'Earthy', 'Pungent']",,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",,"['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']",,"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']",
LA Chocolat,Green Leaf Medical (gLeaf),,,hybrid,"['Earthy', 'Coffee', 'Sweet']",THC Dominant,,,,-0.7857,"['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Focused']","['Relaxed 78%', 'Happy 60%', 'Euphoric 41%', 'Sleepy 34%', 'Uplifted 30%']","['Dry Mouth', 'Dry Eyes']","['Stress 43%', 'Pain 42%', 'Anxiety 28%', 'Depression 26%', 'Insomnia 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']","['Dry mouth 21%', 'Dry eyes 12%', 'Headache 3%', 'Anxious 2%', 'Dizzy 1%']"
Silver Mountain,Bonsai Cultivation,,,,,THC Dominant,19–20% THC,< 1% CBD,,,,,,,,
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Big Smooth,Emerald Family Farms,,,hybrid,"['Blueberry', 'Earthy', 'Pine']",THC Dominant,18–21% THC,< 1% CBD,"['Pinene', 'Myrcene', 'Caryophyllene']",-0.5926,"['Happy', 'Creative', 'Tingly', 'Giggly', 'Aroused']","['Relaxed 63%', 'Happy 59%', 'Euphoric 36%', 'Uplifted 34%', 'Giggly 24%']",[],"['Stress 26%', 'Anxiety 26%', 'Depression 20%', 'Fatigue 14%', 'Pain 14%']","['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']","['Dry mouth 14%', 'Dry eyes 8%', 'Anxious 4%', 'Headache 2%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
Bubba Kush,Absolute Nature CBD,,,indica,"['Earthy', 'Sweet', 'Pungent']",THC Dominant,14–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.8467,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 63%', 'Sleepy 52%', 'Happy 51%', 'Euphoric 46%', 'Hungry 36%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 39%', 'Pain 36%', 'Insomnia 32%', 'Anxiety 29%', 'Depression 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 39%', 'Dry eyes 22%', 'Dizzy 9%', 'Paranoid 7%', 'Headache 4%']"
White Tahoe Cookies,Olympic Mountain Man Farm,,,,,THC Dominant,20–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.8674,,"['Relaxed 64%', 'Happy 48%', 'Euphoric 40%', 'Sleepy 31%', 'Aroused 22%']",,"['Stress 25%', 'Depression 23%', 'Pain 21%', 'Insomnia 18%', 'Anxiety 15%']",,"['Dry mouth 17%', 'Dry eyes 7%', 'Paranoid 5%', 'Anxious 3%', 'Dizzy 3%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Sunset Sherbet,High Winds Farm,,,hybrid,"['Sweet', 'Citrus', 'Earthy']",,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",,"['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']",,"['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']",
Blackberry Kush,Equinox Gardens,,,indica,"['Berry', 'Sweet', 'Earthy']",THC Dominant,13–18% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8583,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 58%', 'Happy 46%', 'Sleepy 46%', 'Euphoric 44%', 'Hungry 28%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 41%', 'Pain 37%', 'Insomnia 35%', 'Anxiety 33%', 'Depression 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 30%', 'Dry eyes 18%', 'Dizzy 5%', 'Headache 5%', 'Paranoid 3%']"
Blueberry ,Constellation Cannabis,5.0,,indica,"['Blueberry', 'Berry', 'Sweet']",THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",-0.7335,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 62%', 'Happy 54%', 'Euphoric 47%', 'Sleepy 39%', 'Uplifted 32%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 40%', 'Pain 32%', 'Anxiety 29%', 'Insomnia 25%', 'Depression 23%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']","['Dry mouth 30%', 'Dry eyes 18%', 'Dizzy 7%', 'Paranoid 4%', 'Headache 3%']"
Strawberry Cheesecake,House of Cultivar,,,indica,"['Sweet', 'Strawberry', 'Flowery']",THC Dominant,,,,-0.3704,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Relaxed 59%', 'Happy 56%', 'Euphoric 49%', 'Uplifted 43%', 'Hungry 26%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 34%', 'Pain 33%', 'Depression 29%', 'Anxiety 25%', 'Lack of appetite 20%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']","['Dry mouth 20%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 3%', 'Anxious 0%']"
Golden Goat,Telluride Bud Company,,,hybrid,"['Earthy', 'Sweet', 'Citrus']",THC Dominant,16–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Myrcene']",0.8097,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 60%', 'Uplifted 53%', 'Euphoric 52%', 'Relaxed 44%', 'Energetic 43%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Depression 30%', 'Anxiety 26%', 'Pain 23%', 'Fatigue 15%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 26%', 'Dry eyes 14%', 'Paranoid 5%', 'Dizzy 5%', 'Anxious 3%']"
Purple Punch (MED),Cultivate,,,indica,"['Sweet', 'Grape', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Pinene']",-0.8743,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 62%', 'Happy 42%', 'Euphoric 38%', 'Sleepy 36%', 'Uplifted 25%']","['Dry Mouth', 'Dry Eyes']","['Stress 27%', 'Anxiety 23%', 'Depression 21%', 'Pain 21%', 'Insomnia 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 21%', 'Dry eyes 12%', 'Dizzy 5%', 'Anxious 3%', 'Headache 2%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Tina Danza,Sunday Goods,,,hybrid,"['Flowery', 'Pine']",THC Dominant,17–24% THC,< 1% CBD,,-0.6124,"['Relaxed', 'Hungry', 'Happy', 'Creative']",,['Dry Eyes'],,"['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']",
Wedding Cake,Arizona Natural Remedies,,,hybrid,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,17–24% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",-0.3269,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 54%', 'Happy 47%', 'Euphoric 38%', 'Uplifted 33%', 'Hungry 20%']","['Paranoid', 'Dry Eyes', 'Anxious']","['Stress 21%', 'Depression 17%', 'Anxiety 14%', 'Pain 14%', 'Insomnia 9%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 17%', 'Dry eyes 8%', 'Dizzy 5%', 'Anxious 2%', 'Paranoid 1%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Rare Darkness (Med),UKU,,,indica,"['Grape', 'Sweet', 'Berry']",THC Dominant,,,,-0.9059999999999999,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 78%', 'Sleepy 54%', 'Euphoric 48%', 'Happy 47%', 'Hungry 25%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 35%', 'Insomnia 33%', 'Pain 33%', 'Anxiety 29%', 'Depression 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 29%', 'Dry eyes 9%', 'Anxious 4%', 'Headache 4%', 'Dizzy 3%']"
Original Glue (GG4),Phat Panda by Grow Op Farms,,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Bear Dance,Silverpeak,,,,,THC Dominant,,,,0.7364,,"['Happy 79%', 'Uplifted 68%', 'Relaxed 62%', 'Euphoric 58%', 'Focused 44%']",,"['Depression 41%', 'Stress 41%', 'Anxiety 37%', 'Pain 24%', 'Fatigue 13%']",,"['Dry mouth 17%', 'Dry eyes 13%', 'Anxious 6%', 'Paranoid 6%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Kosher Kush,Arizona Organix,,,indica,"['Earthy', 'Pungent', 'Pine']",THC Dominant,18–22% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.9188,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 66%', 'Sleepy 51%', 'Happy 44%', 'Euphoric 42%', 'Hungry 25%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 35%', 'Insomnia 33%', 'Pain 32%', 'Anxiety 26%', 'Depression 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']","['Dry mouth 30%', 'Dry eyes 15%', 'Dizzy 6%', 'Paranoid 3%', 'Anxious 1%']"
White Tahoe Cookies,Emerald Family Farms,,,,,THC Dominant,20–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.8674,,"['Relaxed 64%', 'Happy 48%', 'Euphoric 40%', 'Sleepy 31%', 'Aroused 22%']",,"['Stress 25%', 'Depression 23%', 'Pain 21%', 'Insomnia 18%', 'Anxiety 15%']",,"['Dry mouth 17%', 'Dry eyes 7%', 'Paranoid 5%', 'Anxious 3%', 'Dizzy 3%']"
Alchemy ,SunMed Growers,,,hybrid,"['Cheese', 'Chemical', 'Sweet']",,,,,,"['Relaxed', 'Hungry', 'Uplifted', 'Tingly', 'Sleepy']",,[],,"['Insomnia', 'Stress', 'Fatigue', 'Headaches', 'Eye Pressure']",
LA Kush,High Level Health,,,hybrid,"['Berry', 'Blueberry', 'Menthol']",THC Dominant,,,,0.1765,"['Relaxed', 'Happy', 'Creative', 'Energetic', 'Aroused']","['Relaxed 75%', 'Happy 65%', 'Euphoric 55%', 'Uplifted 48%', 'Creative 41%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Depression 27%', 'Pain 24%', 'Fatigue 20%', 'Inflammation 20%']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Inflammation']","['Dry mouth 24%', 'Anxious 13%', 'Dry eyes 13%', 'Dizzy 10%', 'Paranoid 6%']"
Sunset Sherbet,Elyon Cannabis,,,hybrid,"['Sweet', 'Citrus', 'Earthy']",,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",,"['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']",,"['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']",
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Green Crack,Green Haven,5.0,,sativa,"['Citrus', 'Earthy', 'Sweet']",THC Dominant,15–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.9673,"['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Energetic 62%', 'Happy 56%', 'Uplifted 54%', 'Euphoric 45%', 'Focused 41%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Anxiety 28%', 'Depression 28%', 'Pain 19%', 'Fatigue 18%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 28%', 'Dry eyes 16%', 'Paranoid 9%', 'Anxious 7%', 'Dizzy 6%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Wedding Cake,Lotus Gold,,,hybrid,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,17–24% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",-0.3269,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 54%', 'Happy 47%', 'Euphoric 38%', 'Uplifted 33%', 'Hungry 20%']","['Paranoid', 'Dry Eyes', 'Anxious']","['Stress 21%', 'Depression 17%', 'Anxiety 14%', 'Pain 14%', 'Insomnia 9%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 17%', 'Dry eyes 8%', 'Dizzy 5%', 'Anxious 2%', 'Paranoid 1%']"
Animal Cookies,Sauce Boss,,,hybrid,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,17–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.4466,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 68%', 'Happy 55%', 'Euphoric 48%', 'Uplifted 39%', 'Sleepy 29%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 33%', 'Pain 30%', 'Anxiety 25%', 'Depression 24%', 'Insomnia 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 24%', 'Dry eyes 12%', 'Anxious 4%', 'Paranoid 4%', 'Headache 4%']"
