Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
Heavy Duty Fruity,Funky Monkey By Northwest Cannabis Solutions,,,hybrid,"['Sweet', 'Flowery', 'Berry']",THC Dominant,,,,0.3961,"['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy']","['Euphoric 42%', 'Happy 42%', 'Uplifted 40%', 'Relaxed 38%', 'Energetic 29%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 35%', 'Pain 31%', 'Anxiety 26%', 'Depression 24%', 'Insomnia 19%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 26%', 'Dry eyes 21%', 'Dizzy 7%', 'Headache 3%', 'Anxious 1%']"
Grape Ape,Abundant Organics,,,indica,"['Grape', 'Sweet', 'Berry']",THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.8376,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 61%', 'Happy 48%', 'Sleepy 44%', 'Euphoric 43%', 'Hungry 28%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Pain 40%', 'Stress 37%', 'Anxiety 31%', 'Insomnia 31%', 'Depression 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']","['Dry mouth 28%', 'Dry eyes 17%', 'Dizzy 6%', 'Paranoid 4%', 'Headache 3%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Blue Widow,Good Chemistry,,,hybrid,"['Earthy', 'Sweet', 'Berry']",THC Dominant,9–15% THC,< 1% CBD,,-0.0511,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Happy 56%', 'Relaxed 53%', 'Euphoric 52%', 'Uplifted 44%', 'Sleepy 26%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Pain 45%', 'Stress 38%', 'Anxiety 34%', 'Depression 29%', 'Insomnia 23%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']","['Dry mouth 31%', 'Dry eyes 17%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Burmese Kush,DOJA,,,hybrid,"['Earthy', 'Sweet', 'Pine']",THC Dominant,14–20% THC,< 1% CBD,,-0.301,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Relaxed 58%', 'Happy 57%', 'Euphoric 50%', 'Uplifted 39%', 'Hungry 27%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 37%', 'Pain 28%', 'Anxiety 25%', 'Depression 24%', 'Insomnia 22%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']","['Dry mouth 32%', 'Dry eyes 18%', 'Headache 5%', 'Paranoid 5%', 'Dizzy 3%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
